Reference, Value, Footprint, Datasheet, Description, Height, Manufacturer_Name, Manufacturer_Part_Number, Mouser Part Number, Mouser Price/Stock
"U1","STM32F446ZET6","Package_QFP:LQFP-144_20x20mm_P0.5mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00141306.pdf"
"C17","2.2u","Capacitor_SMD:C_0805_2012Metric","~"
"C16","2.2u","Capacitor_SMD:C_0805_2012Metric","~"
"SW1","SW_SPDT","spdt switch:118251376","~"
"R1","10k","Resistor_SMD:R_0805_2012Metric","~"
"C1","4.7u","Capacitor_SMD:C_0805_2012Metric","~"
"C2","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C3","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C4","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C5","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C6","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C7","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C8","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C9","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C10","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C11","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C12","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C13","100n","Capacitor_SMD:C_0805_2012Metric","~"
"L1","39n","Inductor_SMD:L_0402_1005Metric","~"
"C14","1u","Capacitor_SMD:C_0805_2012Metric","~"
"C15","10n","Capacitor_SMD:C_0805_2012Metric","~"
"F1","750mA","Resistor_SMD:R_1210_3225Metric","~"
"SWD1","Conn_01x06_Female","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"R3","22","Resistor_SMD:R_0805_2012Metric","~"
